"Wijken";"Bevolking totaal|2019"
"Binnenstad";5280
"Potmargezone";8448
"Oud-Oost";12321
"Sonnenborgh e.o.";8031
"Westeinde e.o.";3889
"Vossepark & Helicon";4246
"Huizum-West";6559
"Nijlân & De Zwette";3806
"Heechterp & Schieringen";3689
"Camminghaburen e.o.";10608
"Bilgaard & Havankpark e.o.";6819
"Vrijheidswijk";3509
"Dokkumer Ie e.o.";3057
"Stiens e.o.";8390
"Aldlân & De Hemrik";6903
"Goutum";3166
"Hempens/Teerns & Zuiderburen";5944
"De Zuidlanden";2190
"Middelsee";52
"Dorpen Zuid-Oost";3835
"Dorpen Zuid-West";3955
"Grou e.o.";8410
